Title,Owner,State,City/District,Periodity
ASSAM TRIBUNE,ASSAM TRIBUNE P.LTD,ASS,DIBRUGARH,D
CACHAR TRIBUNE,UJJAL KUMAR DASS,ASS,HAILAKANDI,W
THE CONSTRUCTION TRIBUNE,RUNIMA BARUA,ASS,JORHAT,F
ASSAM TRIBUNE,ASSAM TRIBUNE (P) LTD,ASS,KAMRUP METROPOLITAN/ GUWAHATI,D
DAINIK TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH,D
PUNJABI TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH,D
THE TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH,D
THE TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT BATHINDA,D
PUNJABI TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT BATHINDA,D
DAINIK TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT BATHINDA),D
PUNJABI TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT GURGAON),D
DAINIK TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT GURGAON),D
THE TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT GURGAON),D
PUNJABI TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT JALANDHAR),D
THE TRIBUNE,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT JALANDHAR),D
RASHTRIYA HIND TRIBUNE,NANDINI CHANDRAKAR,CHH,RAIPUR,Q
DELHI TRIBUNE,MAYA ENTERPRISES,DEL,DELHI,D
INDIAN MEDICAL TRIBUNE,DR.J.K. JAIN,DEL,DELHI,W
THE INTERTRADE TRIBUNE,OM PRAKASH PANWAR 'NISHANT',DEL,DELHI,W
SIRSA TRIBUNE,SURENDER BHATIA,HAR,SIRSA,F
HIMACHAL TRIBUNE,DEV PANTHI,HP,SHIMLA,W
HIMACHAL TRIBUNE,DEV KUMAR PANDHI,HP,SHIMLA,W
NATIONAL TRIBUNE,HRIDESH ARYA,HP,SIMLA,D
KASHMIR TRIBUNE,JAWAID AHMAD DAR,JK,BARAMULA,W
KASHMIR TRIBUNE,JAWAID AHMAD DAR,JK,BARAMULLA,W
THE TRIBUNE,THE TRIBUNE TRUST,JK,JAMMU,D
THE TRIBUNE,THE TRIBUNE TRUST,JK,SRINAGAR,D
SRINAGAR TRIBUNE,BILAL AHMAD,JK,SRINAGAR,W
INDUSTRIAL AND CULTURAL TRIBUNE,C K PILLAY,KER,ERNAKULAM,M
GOAN TRIBUNE,TRIBUNE(BOMBAY) PRIVATE LTD,MAH,MUMBAI,F
THE BOMBAY TRIBUNE,ASHOK GARG,MAH,MUMBAI,W
THE U P LAW TRIBUNE,ALL INDIA REPORTER LTD.,MAH,NAGPUR,M
HOUSING TRIBUNE,SAMAJ SHIKSHAN AND SEVA MANDAL,MAH,PUNE,Q
PUNE TRIBUNE,ANGELS SALES & MARKETING PVT. LTD.,MAH,PUNE,W
YAVATMAL TRIBUNE,J.B. SONONE,MAH,YAVATMAL,W
CAPITAL TRIBUNE,SANTOSH SAHU,MP,BHOPAL,W
THE LUDHIANA TRIBUNE,RAJINDER KUMAR JAIN,PUN,LUDHIANA,F
BANJARA TRIBUNE,RAVINDRA NAIK,TEL,HYDERABAD,W
NISHPAKSH AVADH TRIBUNE,S.R.PUBLICATION,UP,BARABANKI,W
NATIONAL TRIBUNE,C.M SADRI,UP,KANPUR,W
AVADH TRIBUNE,SATYA PRAKASH SRIVASTAVA,UP,LUCKNOW,F
THE LUCKNOW TRIBUNE,RAJNISH CHOPRA,UP,LUCKNOW,W
HINDI TRIBUNE,AKHILANAND ARYA,UP,LUCKNOW,W
NEPAL TRIBUNE,PUSPA LAL,UP,VARANASI,M
THE UTTARAKHAND TRIBUNE,SHIVAM BISHT,UTT,DEHRADUN,W
INDUSTRIAL TRIBUNE,KASHINATHH LAHIRI,WB,BARDHAMAN,F
COAL FIELD TRIBUNE,DAMODAR GUPTA,WB,BARDHAMAN,W
ASANSOL DURGAPUR TRIBUNE,DULAL MONDAL,WB,BARDHMAN/ DURGAPUR,W
SPORTS TRIBUNE,KISHORE BHIMANI,WB,KOLKATA,W
